,,,,,,,,,,,,,,,
"CUADRO No.-28 
TRAFICO AÉREO INTERNACIONAL NO REGULAR DE
PASAJEROS ENTRADOS Y SALIDOS POR LOS AEROPUERTOS
DE QUITO, GUAYAQUIL, LATACUNGA Y MANTA; SEGÚN CIUDADES DE ORIGEN Y DESTINO",,,,,,,,,,,,,,,
,,,,,,,,,,,,ÍNDICE>>,,,
"CIUDADES DE
ORIGEN Y DESTINO",PASAJEROS,,,,,,,,,,,,,,
,E  N  T  R  A  D  O  S,,,,,S  A  L  I  D  O  S,,,,,,,,,
,TOTAL,QUITO,GUAYAQUIL,LATACUNGA,MANTA,TOTAL,QUITO,GUAYAQUIL,LATACUNGA,MANTA,,,,,
 TOTAL," 23,117 "," 5,360 "," 1,883 "," 1,795 "," 14,079 "," 26,403 "," 8,025 "," 1,823 "," 2,372 "," 14,183 ",,,,,
BARQUISIMETO, 43 , 43 , -   , -   , -   , 43 , 43 , -   , -   , -   ,,,,,
BOGOTÁ, 114 , 114 , -   , -   , -   , 178 , 178 , -   , -   , -   ,,,,,
CANCÚN, -   , -   , -   , -   , -   , 118 , 118 , -   , -   , -   ,,,,,
CARACAS," 7,598 ", 73 , -   , -   ," 7,525 "," 7,820 ", 467 , -   , -   ," 7,353 ",,,,,
CARTAGENA," 1,034 ", -   , -   ," 1,034 ", -   ," 1,495 ", 210 , -   ," 1,285 ", -   ,,,,,
FORTALEZA (BRASIL), -   , -   , -   , -   , -   , 76 , 76 , -   , -   , -   ,,,,,
IQUIQUE, -   , -   , -   , -   , -   , 90 , 90 , -   , -   , -   ,,,,,
MIAMI, 57 , -   , 57 , -   , -   , 81 , 81 , -   , -   , -   ,,,,,
MONTEGO BAY / JAMAICA, 953 , 953 , -   , -   , -   ," 1,084 "," 1,084 ", -   , -   , -   ,,,,,
PANAMÁ," 2,315 "," 1,843 ", 138 , 334 , -   ," 3,945 "," 2,855 ", 499 , 591 , -   ,,,,,
PUERTO ORDAZ, 137 , -   , 137 , -   , -   , 138 , 138 , -   , -   , -   ,,,,,
PUNTA CANÁ," 2,503 "," 1,971 ", 532 , -   , -   ," 2,882 "," 2,285 ", 596 , 1 , -   ,,,,,
SANTIAGO, 354 , 51 , 303 , -   , -   , 173 , 76 , 97 , -   , -   ,,,,,
VALENCIA (VENEZUELA), -   , -   , -   , -   , -   , 584 , 324 , -   , -   , 260 ,,,,,
CALI, 55 , 55 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
MADRID, 176 , 176 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
SAN JOSÉ, 81 , 81 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
LIMA," 1,075 ", -   , 716 , 359 , -   ," 1,059 ", -   , 631 , 428 , -   ,,,,,
MARGARITA (VENEZUELA), 68 , -   , -   , 68 , -   , 67 , -   , -   , 67 , -   ,,,,,
BARCELONA (VENEZUELA)," 6,328 ", -   , -   , -   ," 6,328 "," 6,099 ", -   , -   , -   ," 6,099 ",,,,,
MARACAIBO, 124 , -   , -   , -   , 124 , 150 , -   , -   , -   , 150 ,,,,,
OTROS, 102 , -   , -   , -   , 102 , 321 , -   , -   , -   , 321 ,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
